ID,Post_Title,Post_description,News_Categories,Image_URLs,name,email,Number
a01,Post Title 1,Post Description 1,Technology,"http://localhost/csvpost/wp-content/uploads/2024/06/img_5terre.jpg,http://localhost/csvpost/wp-content/uploads/2024/06/img_forest.jpg ",Harshit,harshit@gmail.com,7961509186
a02,Post Title 2,Post Description 2,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_forest.jpg,Yatin,yatin@gmail.com,1418452568
a03,Post Title 3,Post Description 3,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_forest.jpg,Dilen,dilen@gmail.com,5225474386
a04,Post Title 4,Post Description 4,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_forest.jpg,Harshit,harshit@gmail.com,4327246731
a05,Post Title 5,Post Description 5,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_5terre.jpg,Harshit,harshit@gmail.com,3585576897
a06,Post Title 6,Post Description 6 dsasdasd,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_forest.jpg,Dilen,dilen@gmail.com,7848974118
a07,Post Title 7,Post Description 7,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_forest.jpg,Harshit,harshit@gmail.com,2227217861
a08,Post Title 8,Post Description 8,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_5terre.jpg,Dilen,dilen@gmail.com,6641947313
a09,Post Title 9,Post Description 9,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_lights.jpg,Harshit,harshit@gmail.com,3423949266
a010,Post Title 10,Post Description 10,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_man.jpg,Dilen,dilen@gmail.com,6127988556
a011,Post Title 11,Post Description 11,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_5terre.jpg,Yatin,yatin@gmail.com,6090994733
a012,Post Title 12,Post Description 12,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_man.jpg,sahil,sahil@gmail.com,895263527
a013,Post Title 13,Post Description 13,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_forest.jpg,Dilen,dilen@gmail.com,5259918600
a014,Post Title 14,Post Description 14,Technology,http://localhost/csvpost/wp-content/uploads/2024/06/img_man.jpg,Harshit,harshit@gmail.com,5083050617
a015,Post Title 15,Post Description 15,"Business,Finance",http://localhost/csvpost/wp-content/uploads/2024/06/img_5terre.jpg,sahil,sahil@gmail.com,6312855466
a016,Post Title 16,Post Description 16,"Business,Finance",http://localhost/csvpost/wp-content/uploads/2024/06/img_lights.jpg,Harshit,harshit@gmail.com,6465591550
a017,Post Title 17,Post Description 17,"Business,Finance",http://localhost/csvpost/wp-content/uploads/2024/06/img_man.jpg,Yatin,yatin@gmail.com,8769327618
a018,Post Title 18,Post Description 18,Health,http://localhost/csvpost/wp-content/uploads/2024/06/img_5terre.jpg,Harshit,harshit@gmail.com,2038674258
a019,Post Title 19,Post Description 19,Health,http://localhost/csvpost/wp-content/uploads/2024/06/img_man.jpg,Piyanshu,piyanshu@gmail.com,4774878430
a020,Post Title 20,Post Description 20,Health,http://localhost/csvpost/wp-content/uploads/2024/06/img_lights.jpg,Dilen,dilen@gmail.com,8570847988
a021,Post Title 21,Post Description 21,Health,http://localhost/csvpost/wp-content/uploads/2024/06/img_5terre.jpg,Yatin,yatin@gmail.com,6477705543
a022,Post Title 22,Post Description 22,Health,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg,Harshit,harshit@gmail.com,3819655188
a023,Post Title 23,Post Description 23,Health,http://localhost/csvpost/wp-content/uploads/2024/06/img_5terre.jpg,Piyanshu,piyanshu@gmail.com,9647997716
a024,Post Title 24,Post Description 24,Health,http://localhost/csvpost/wp-content/uploads/2024/06/img_man.jpg,Dilen,dilen@gmail.com,4785009373
a025,Post Title 25,Post Description 25,Health,http://localhost/csvpost/wp-content/uploads/2024/06/img_5terre.jpg,Harshit,harshit@gmail.com,7104745642
a026,Post Title 26,Post Description 26,Health,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg,Piyanshu,piyanshu@gmail.com,4781246237
